순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
24,003550,LG,"79,100","-3,600","-4.4","475,736","38,246,594,500","81,600","84,000","78,000","13,649,269,062,100","0.74","172,557,131",,,
25,326030,SK바이오팜,"167,000","-5,000","-2.9","320,638","53,973,504,000","171,000","174,000","165,500","13,078,312,750,000","0.71","78,313,250",,,
26,015760,한국전력,"19,950","-850","-4.1","5,532,645","111,288,379,150","20,650","20,700","19,850","12,807,183,336,150","0.69","641,964,077",,,
27,251270,넷마블,"148,000","-6,000","-3.9","525,507","79,132,344,500","153,000","155,000","147,500","12,698,532,756,000","0.69","85,800,897",,,
28,018260,삼성에스디에스,"159,000","-7,000","-4.2","198,150","31,999,164,000","165,000","165,500","159,000","12,303,070,200,000","0.66","77,377,800",,,
29,032830,삼성생명,"59,600","-3,400","-5.4","1,607,748","97,086,262,200","61,500","62,400","59,400","11,920,000,000,000","0.64","200,000,000",,,
30,033780,KT&G,"83,100","-2,700","-3.2","583,244","48,908,148,300","84,700","85,400","83,000","11,409,006,500,700","0.62","137,292,497",,,
31,090430,아모레퍼시픽,"172,500","-9,500","-5.2","474,062","82,535,591,500","179,000","180,500","170,500","10,084,089,525,000","0.54","58,458,490",,,
32,009150,삼성전기,"124,500","-9,500","-7.1","1,026,733","130,332,516,000","133,000","133,500","124,000","9,299,365,152,000","0.50","74,693,696",,,
33,000810,삼성화재,"177,500","-10,000","-5.3","177,123","32,035,438,500","185,500","186,500","177,500","8,409,033,567,500","0.45","47,374,837",,,
34,086790,하나금융지주,"27,800","-1,250","-4.3","2,279,135","64,129,507,800","28,800","28,900","27,650","8,346,729,323,600","0.45","300,242,062",,,
35,010130,고려아연,"405,500","-12,500","-3.0","49,255","20,205,006,000","412,000","421,500","403,500","7,651,785,000,000","0.41","18,870,000",,,
36,018880,한온시스템,"12,600","-450","-3.4","1,660,341","20,966,460,250","12,750","13,000","12,450","6,725,880,000,000","0.36","533,800,000",,,
37,010950,S-Oil,"58,100","-2,400","-4.0","607,584","35,792,364,000","60,400","60,500","57,900","6,541,060,215,200","0.35","112,582,792",,,
38,096530,씨젠,"238,000","-3,000","-1.2","4,994,282","1,174,825,946,800","242,000","247,800","218,000","6,243,696,760,000","0.34","26,234,020",,,
39,021240,코웨이,"84,400","-4,000","-4.5","230,462","19,654,695,200","86,900","87,900","82,800","6,228,687,843,600","0.34","73,799,619",,,
40,009540,한국조선해양,"87,500","-3,900","-4.3","466,880","41,253,436,400","90,700","90,700","87,100","6,192,647,650,000","0.33","70,773,116",,,
41,030200,KT,"23,650","-750","-3.1","1,668,694","39,879,263,550","24,300","24,350","23,650","6,175,294,259,200","0.33","261,111,808",,,
42,316140,우리금융지주,"8,450","-310","-3.5","1,831,001","15,660,453,970","8,710","8,760","8,450","6,103,161,921,350","0.33","722,267,683",,,
43,097950,CJ제일제당,"400,500","-2,000","-0.5","138,467","56,182,342,000","400,000","420,000","399,000","6,029,201,493,000","0.33","15,054,186",,,
44,024110,기업은행,"8,120","-270","-3.2","2,492,450","20,408,705,080","8,320","8,380","8,120","5,997,954,603,200","0.32","738,664,360",,,
45,271560,오리온,"151,000","-1,500","-1.0","84,589","12,836,317,000","150,000","154,000","150,000","5,969,955,932,000","0.32","39,536,132",,,
46,011170,롯데케미칼,"169,000","-10,500","-5.8","239,535","41,076,594,000","177,500","177,500","168,500","5,792,545,811,000","0.31","34,275,419",,,
47,006800,미래에셋대우,"8,890","-380","-4.1","5,392,305","48,933,426,180","9,220","9,410","8,830","5,736,862,867,120","0.31","645,316,408",,,
48,003670,포스코케미칼,"87,400","-3,100","-3.4","717,176","63,687,760,700","89,900","92,900","86,500","5,330,370,428,000","0.29","60,988,220",,,
49,032640,LG유플러스,"11,500","-350","-3.0","2,329,470","27,159,964,350","11,850","12,000","11,500","5,021,030,651,500","0.27","436,611,361",,,
50,019170,신풍제약,"93,200","9,700","11.6","7,382,931","657,791,624,700","84,000","96,900","82,500","4,938,201,068,000","0.27","52,984,990",,,
51,009830,한화솔루션,"30,400","-1,750","-5.4","4,889,389","153,516,284,050","31,700","32,950","30,050","4,859,880,708,800","0.26","159,864,497",,,
52,285130,SK케미칼,"401,500","-10,500","-2.6","651,889","259,789,917,500","407,500","414,000","382,000","4,714,170,494,000","0.25","11,741,396",,,
53,196170,알테오젠,"165,900","-4,100","-2.4","440,857","74,206,193,800","169,700","174,000","163,700","4,643,856,210,000","0.25","27,991,900",,,
54,028300,에이치엘비,"87,500","-3,100","-3.4","996,078","88,230,150,400","91,000","91,500","86,700","4,607,289,750,000","0.25","52,654,740",,,
55,086280,현대글로비스,"120,000","-7,000","-5.5","167,228","20,296,208,500","124,500","126,000","119,000","4,500,000,000,000","0.24","37,500,000",,,
56,034220,LG디스플레이,"12,550","-350","-2.7","2,937,858","37,181,862,050","12,850","13,050","12,500","4,490,587,035,000","0.24","357,815,700",,,
57,035250,강원랜드,"20,900","-1,050","-4.8","877,972","18,644,714,900","21,600","21,750","20,900","4,471,356,450,000","0.24","213,940,500",,,
58,180640,한진칼,"75,400","-5,000","-6.2","349,803","26,879,354,600","80,700","81,400","74,900","4,461,452,533,200","0.24","59,170,458",,,
59,002790,아모레G,"53,700","-2,800","-5.0","163,245","8,898,580,400","55,800","56,200","53,600","4,428,004,266,000","0.24","82,458,180",,,
60,000100,유한양행,"65,900","200","0.3","3,478,076","238,790,629,200","72,000","72,900","65,700","4,405,863,779,000","0.24","66,856,810",,,
61,068760,셀트리온제약,"111,100","1,400","1.3","804,221","91,054,363,200","109,900","117,600","109,000","3,978,134,591,200","0.21","35,806,792",,,
62,088980,맥쿼리인프라,"11,050","-100","-0.9","880,433","9,736,322,200","11,150","11,150","11,000","3,856,939,912,800","0.21","349,044,336",,,
63,008930,한미사이언스,"57,400","-1,000","-1.7","487,692","28,530,739,200","58,000","60,700","56,800","3,789,039,952,600","0.20","66,011,149",,,
64,267250,현대중공업지주,"236,000","-14,500","-5.8","54,383","13,119,425,500","250,500","253,000","235,500","3,728,473,612,000","0.20","15,798,617",,,
65,012750,에스원,"95,700","-4,300","-4.3","67,147","6,609,428,200","98,600","102,500","95,700","3,636,521,334,600","0.20","37,999,178",,,
66,161390,한국타이어앤테크놀로지,"28,950","-1,650","-5.4","522,537","15,508,189,850","30,550","30,850","28,900","3,586,183,247,550","0.19","123,875,069",,,
67,000720,현대건설,"32,200","-1,700","-5.0","1,501,035","48,947,107,350","33,700","33,800","31,900","3,585,655,633,000","0.19","111,355,765",,,
68,128940,한미약품,"299,000","2,500","0.8","180,217","54,382,275,500","300,000","311,000","296,000","3,541,065,671,000","0.19","11,843,029",,,
69,011070,LG이노텍,"145,000","-9,500","-6.2","324,261","47,693,715,500","153,000","153,500","143,500","3,431,730,515,000","0.19","23,667,107",,,
70,004020,현대제철,"25,200","-1,850","-6.8","1,561,759","40,043,021,600","26,950","26,950","25,050","3,362,833,782,000","0.18","133,445,785",,,
71,029780,삼성카드,"28,850","-1,050","-3.5","297,422","8,762,332,050","29,900","30,300","28,800","3,342,529,005,350","0.18","115,858,891",,,
72,000120,CJ대한통운,"145,500","-6,500","-4.3","91,858","13,568,357,500","150,500","152,000","145,000","3,319,196,052,000","0.18","22,812,344",,,
73,139480,이마트,"119,000","-6,500","-5.2","431,381","51,806,665,000","125,000","125,000","117,000","3,317,222,461,000","0.18","27,875,819",,,
